year,tournament,player,position,market_value_m,value_rank,squad_size
2006,World Cup,Francesco Totti,,35.0,1,44
2006,World Cup,Alessandro Nesta,,33.0,2,44
2006,World Cup,Gianluca Zambrotta,,28.0,3,44
2006,World Cup,Gennaro Gattuso,,25.0,4,44
2006,World Cup,Antonio Cassano,,25.0,5,44
2006,World Cup,Alessandro Del Piero,,22.0,6,44
2006,World Cup,Andrea Pirlo,,20.0,7,44
2006,World Cup,Alberto Gilardino,,20.0,8,44
2006,World Cup,Christian Vieri,,18.0,9,44
2006,World Cup,Luca Toni,,15.0,10,44
2006,World Cup,Daniele De Rossi,,14.0,11,44
2006,World Cup,Mauro Camoranesi,,12.0,12,44
2006,World Cup,Fabio Cannavaro,,12.0,13,44
2006,World Cup,Daniele Bonera,,11.0,14,44
2006,World Cup,Simone Barone,,10.0,15,44
2006,World Cup,Vincenzo Montella,,8.0,16,44
2006,World Cup,Cristian Zaccardo,,8.0,17,44
2006,World Cup,Andrea Barzagli,,7.0,18,44
2006,World Cup,Manuele Blasi,,6.0,19,44
2006,World Cup,Massimo Oddo,,6.0,20,44
2006,World Cup,Fabio Grosso,,5.0,21,44
2006,World Cup,Marco Materazzi,,5.0,22,44
2006,World Cup,Angelo Peruzzi,,4.0,23,44
2006,World Cup,Cristiano Lucarelli,,3.5,24,44
2006,World Cup,Dario Dainelli,,3.5,25,44
2006,World Cup,Christian Abbiati,,3.0,26,44
2006,World Cup,Marco Amelia,,3.0,27,44
2006,World Cup,Giuseppe Pancaro,,2.5,28,44
2006,World Cup,Roberto Baronio,,2.5,29,44
2006,World Cup,Mauro Esposito,,2.0,30,44
2006,World Cup,Flavio Roma,,2.0,31,44
2006,World Cup,Vincenzo Iaquinta,,1.5,32,44
2006,World Cup,Morgan De Sanctis,,1.5,33,44
2006,World Cup,Giandomenico Mesto,,0.8,34,44
2006,World Cup,Franco Brienza,,0.8,35,44
2006,World Cup,Stefano Mauri,,0.75,36,44
2006,World Cup,Giampiero Pinzi,,0.75,37,44
2006,World Cup,Carmine Coppola,,0.7,38,44
2006,World Cup,Aimo Diana,,0.6,39,44
2006,World Cup,David Di Michele,,0.4,40,44
2006,World Cup,Marco Cassetti,,0.35,41,44
2006,World Cup,Antonio Langella,,0.2,42,44
2006,World Cup,Gianluigi Buffon,,,43,44
