country,season_start,season,num_clubs,total_players,total_foreign,pct_foreign,avg_age,total_market_value_m,avg_club_value_m,gini_coefficient
Belgium,2006,2006-2007,18,613,287,46.82,24.82,401.43,22.3,0.3221
Belgium,2007,2007-2008,18,609,293,48.11,25.33,438.84,24.38,0.3237
Belgium,2008,2008-2009,18,594,298,50.17,25.02,513.88,28.55,0.383
Belgium,2009,2009-2010,16,528,261,49.43,24.91,462.54,28.91,0.3703
Belgium,2010,2010-2011,16,574,286,49.83,24.79,486.39,30.4,0.3567
Belgium,2011,2011-2012,16,551,269,48.82,24.99,513.33,32.08,0.3594
Belgium,2012,2012-2013,16,588,308,52.38,25.14,561.91,35.12,0.3566
Belgium,2013,2013-2014,16,582,304,52.23,24.91,558.88,34.93,0.3563
Belgium,2014,2014-2015,16,567,307,54.14,24.96,580.43,36.28,0.3707
Belgium,2015,2015-2016,16,576,335,58.16,25.14,634.83,39.68,0.3537
Belgium,2016,2016-2017,16,621,359,57.81,24.84,727.06,45.44,0.3886
Belgium,2017,2017-2018,16,580,365,62.93,25.17,746.12,46.63,0.3713
Belgium,2018,2018-2019,16,599,399,66.61,25.23,937.66,58.6,0.3957
Belgium,2019,2019-2020,16,576,361,62.67,25.18,888.22,55.51,0.4105
Belgium,2020,2020-2021,18,667,394,59.07,25.18,1016.92,56.5,0.4061
Belgium,2021,2021-2022,18,655,388,59.24,24.68,997.1,55.39,0.3906
Belgium,2022,2022-2023,18,648,384,59.26,24.73,1163.72,64.65,0.419
Belgium,2023,2023-2024,16,607,355,58.48,24.55,1303.92,81.5,0.3514
Belgium,2024,2024-2025,16,623,362,58.11,24.43,1402.53,87.66,0.3789
Belgium,2025,2025-2026,16,452,282,62.39,24.56,1054.05,65.88,0.3997
Czechia,2006,2006-2007,16,609,83,13.63,25.56,110.58,6.91,0.5336
Czechia,2007,2007-2008,16,564,103,18.26,25.64,188.84,11.8,0.3862
Czechia,2008,2008-2009,16,554,107,19.31,25.65,220.96,13.81,0.2924
Czechia,2009,2009-2010,16,558,117,20.97,25.75,194.25,12.14,0.2493
Czechia,2010,2010-2011,16,554,106,19.13,25.43,187.4,11.71,0.283
Czechia,2011,2011-2012,16,536,95,17.72,25.49,197.01,12.31,0.2615
Czechia,2012,2012-2013,16,564,115,20.39,25.66,186.33,11.65,0.2547
Czechia,2013,2013-2014,16,624,131,20.99,25.62,202.98,12.69,0.3084
Czechia,2014,2014-2015,16,568,143,25.18,25.75,182.55,11.41,0.2946
Czechia,2015,2015-2016,16,571,131,22.94,25.5,193.04,12.06,0.2994
Czechia,2016,2016-2017,16,601,140,23.29,25.66,237.41,14.84,0.3178
Czechia,2017,2017-2018,16,547,146,26.69,26.14,251.4,15.71,0.3631
Czechia,2018,2018-2019,16,609,158,25.94,25.61,287.49,17.97,0.3796
Czechia,2019,2019-2020,16,590,147,24.92,26.15,263.45,16.47,0.3777
Czechia,2020,2020-2021,18,654,155,23.7,25.73,321.79,17.88,0.4705
Czechia,2021,2021-2022,16,597,138,23.12,25.89,305.09,19.07,0.4833
Czechia,2022,2022-2023,16,578,133,23.01,26.16,291.95,18.25,0.4501
Czechia,2023,2023-2024,16,591,170,28.76,25.79,359.5,22.47,0.4842
Czechia,2024,2024-2025,16,644,206,31.99,25.82,484.38,30.27,0.5358
Czechia,2025,2025-2026,16,466,189,40.56,25.91,414.03,25.88,0.4981
England,2006,2006-2007,20,727,448,61.62,25.94,2608.96,130.45,0.3633
England,2007,2007-2008,20,742,476,64.15,25.77,3166.63,158.33,0.3262
England,2008,2008-2009,20,739,452,61.16,25.82,3585.13,179.26,0.3541
England,2009,2009-2010,20,753,466,61.89,26.09,3490.21,174.51,0.37
