year,tournament,result,performance_score,qualified,host,players,avg_value_m,total_value_m,top_value_m,avg_top11_value_m,serie_a_pct_foreign,serie_a_gini,serie_a_value_m,peer_pct_foreign,peer_gini,peer_value_m,foreign_gap
2008,Euro,Quarter-final,4,1,Austria/Switzerland,45.0,9.37,421.6,30.0,21.14,32.93,0.3833,2240.38,43.52777777777778,0.33915555555555554,1271.4988888888888,-10.597777777777779
2010,World Cup,Group Stage,2,1,South Africa,47.0,10.23,480.65,36.0,22.5,37.82,0.3621,2707.35,44.107777777777784,0.3599,1388.6833333333334,-6.287777777777784
2012,Euro,Runner-up,6,1,Poland/Ukraine,39.0,12.07,470.9,38.0,22.36,43.75,0.3756,2359.08,44.398888888888884,0.3766777777777778,1468.2577777777778,-0.6488888888888837
2014,World Cup,Group Stage,2,1,Brazil,47.0,10.8,507.8,34.0,21.14,46.09,0.3343,2966.87,46.10111111111111,0.40804444444444443,1606.2755555555555,-0.011111111111105743
2016,Euro,Quarter-final,4,1,France,47.0,10.33,485.3,30.0,20.32,50.92,0.3926,2977.57,47.715555555555554,0.4061555555555556,1830.7822222222223,3.204444444444448
2018,World Cup,Did Not Qualify,1,0,Russia,19.0,23.87,453.5,70.0,36.45,50.48,0.4265,4593.93,50.33888888888889,0.4462777777777778,2726.012222222222,0.1411111111111083
2021,Euro,Winner,7,1,Various,49.0,25.08,1229.0,75.0,52.73,55.6,0.3849,5444.99,49.974444444444444,0.45017777777777773,3131.7555555555555,5.625555555555557
2022,World Cup,Did Not Qualify,1,0,Qatar,22.0,30.23,665.0,60.0,47.27,55.24,0.3599,5302.34,49.18888888888889,0.4445888888888889,3156.0588888888888,6.051111111111112
2024,Euro,Round of 16,3,1,Germany,49.0,20.7,1014.5,70.0,46.36,59.38,0.3509,5408.24,50.06666666666667,0.4508666666666667,3723.273333333333,9.313333333333333
2026,World Cup,Qualified,3,1,USA/Canada/Mexico,,,,,,68.54,0.3419,5331.91,56.89,0.46455555555555555,3732.786666666667,11.650000000000006
