year,tournament,player,position,market_value_m,club
2021,Euro,Marco Verratti,,75.0,
2024,Euro,Nicolò Barella,,70.0,
2018,World Cup (Qualifier),Marco Verratti,MF,70.0,PSG
2021,Euro,Jorginho,,65.0,
2022,World Cup (Qualifier),Gianluigi Donnarumma,GK,60.0,PSG
2021,Euro,Federico Chiesa,,60.0,
2022,World Cup (Qualifier),Marco Verratti,MF,60.0,PSG
2018,World Cup (Qualifier),Lorenzo Insigne,FW,60.0,Napoli
2021,Euro,Lorenzo Insigne,,60.0,
2024,Euro,Federico Chiesa,,60.0,
2022,World Cup (Qualifier),Nicolo Barella,MF,55.0,Inter Milan
2021,Euro,Gianluigi Donnarumma,,55.0,
2024,Euro,Alessandro Bastoni,,55.0,
2022,World Cup (Qualifier),Alessandro Bastoni,DF,50.0,Inter Milan
2018,World Cup (Qualifier),Ciro Immobile,FW,50.0,Lazio
2021,Euro,Nicolò Zaniolo,,50.0,
2024,Euro,Sandro Tonali,,50.0,
2024,Euro,Marco Verratti,,50.0,
2022,World Cup (Qualifier),Jorginho,MF,50.0,Chelsea
2024,Euro,Gianluigi Donnarumma,,50.0,
2022,World Cup (Qualifier),Lorenzo Insigne,FW,48.0,Napoli
2022,World Cup (Qualifier),Federico Chiesa,FW,48.0,Juventus
2024,Euro,Lorenzo Pellegrini,,45.0,
2021,Euro,Alessio Romagnoli,,45.0,
2021,Euro,Ciro Immobile,,45.0,
2022,World Cup (Qualifier),Ciro Immobile,FW,45.0,Lazio
2021,Euro,Nicolò Barella,,45.0,
2021,Euro,Federico Bernardeschi,,40.0,
2018,World Cup (Qualifier),Federico Bernardeschi,MF,40.0,Juventus
2021,Euro,Andrea Belotti,,40.0,
2021,Euro,Lorenzo Pellegrini,,40.0,
2021,Euro,Alex Meret,,40.0,
2018,World Cup (Qualifier),Andrea Belotti,FW,38.0,Torino
2012,Euro,Daniele De Rossi,,38.0,
2022,World Cup (Qualifier),Lorenzo Pellegrini,MF,37.0,Roma
2010,World Cup,Andrea Pirlo,,36.0,
2018,World Cup (Qualifier),Leonardo Bonucci,DF,35.0,AC Milan
2024,Euro,Jorginho,,35.0,
2006,World Cup,Francesco Totti,,35.0,
2022,World Cup (Qualifier),Manuel Locatelli,MF,35.0,Juventus
2010,World Cup,Daniele De Rossi,,35.0,
2024,Euro,Giacomo Raspadori,,35.0,
2014,World Cup,Daniele De Rossi,,34.0,
2006,World Cup,Alessandro Nesta,,33.0,
2021,Euro,Moise Kean,,32.0,
2010,World Cup,Gianluigi Buffon,,32.0,
2022,World Cup (Qualifier),Sandro Tonali,MF,32.0,AC Milan
2014,World Cup,Mario Balotelli,,32.0,
2021,Euro,Emerson,,30.0,
2021,Euro,Sandro Tonali,,30.0,
2021,Euro,Stefano Sensi,,30.0,
2024,Euro,Manuel Locatelli,,30.0,
2016,Euro,Marco Verratti,,30.0,
2024,Euro,Nicolò Zaniolo,,30.0,
2022,World Cup (Qualifier),Domenico Berardi,FW,30.0,Sassuolo
2024,Euro,Gianluca Scamacca,,30.0,
2008,Euro,Gianluigi Buffon,,30.0,
2018,World Cup (Qualifier),Alessandro Florenzi,DF,30.0,Roma
2014,World Cup,Giorgio Chiellini,,28.5,
2010,World Cup,Luca Toni,,28.5,
2021,Euro,Gianluca Mancini,,28.0,
2006,World Cup,Gianluca Zambrotta,,28.0,
2018,World Cup (Qualifier),Lorenzo Pellegrini,MF,28.0,Roma
2012,Euro,Gianluigi Buffon,,28.0,
2014,World Cup,Claudio Marchisio,,28.0,
2008,Euro,Alberto Gilardino,,27.0,
2008,Euro,Luca Toni,,27.0,
2012,Euro,Mario Balotelli,,26.0,
2008,Euro,Gianluca Zambrotta,,26.0,
2006,World Cup,Gennaro Gattuso,,25.0,
2012,Euro,Giorgio Chiellini,,25.0,
2024,Euro,Federico Dimarco,,25.0,
2016,Euro,Claudio Marchisio,,25.0,
2024,Euro,Giovanni Di Lorenzo,,25.0,
2021,Euro,Leonardo Bonucci,,25.0,
2008,Euro,Andrea Pirlo,,25.0,
