country,league_code,season,season_start,club,squad_size,avg_age,foreign_players,avg_market_value_m,squad_market_value_m
England,GB1,2006-2007,2006,Chelsea FC,37,24.8,25,11.26,416.76
England,GB1,2006-2007,2006,Arsenal FC,38,23.9,32,7.32,278.18
England,GB1,2006-2007,2006,Manchester United,38,25.0,19,6.82,259.15
England,GB1,2006-2007,2006,Liverpool FC,38,24.7,25,6.31,239.77
England,GB1,2006-2007,2006,Tottenham Hotspur,38,24.6,20,4.36,165.73
England,GB1,2006-2007,2006,Newcastle United,35,25.7,23,4.19,146.55
England,GB1,2006-2007,2006,West Ham United,39,26.3,16,2.81,109.65
England,GB1,2006-2007,2006,Aston Villa,34,26.6,19,3.22,109.5
England,GB1,2006-2007,2006,Everton FC,29,26.9,19,3.77,109.45
England,GB1,2006-2007,2006,Portsmouth FC,32,27.6,20,3.03,97.08
England,GB1,2006-2007,2006,Middlesbrough FC,35,25.0,16,2.75,96.32
England,GB1,2006-2007,2006,Manchester City,34,25.9,18,2.63,89.25
England,GB1,2006-2007,2006,Fulham FC,37,27.7,29,2.29,84.68
England,GB1,2006-2007,2006,Blackburn Rovers,31,27.9,24,2.55,78.9
England,GB1,2006-2007,2006,Wigan Athletic,37,27.6,25,2.03,74.93
England,GB1,2006-2007,2006,Bolton Wanderers,34,26.1,26,2.13,72.38
England,GB1,2006-2007,2006,Charlton Athletic,37,26.3,25,1.93,71.47
England,GB1,2006-2007,2006,Sheffield United,43,26.9,20,1.01,43.36
England,GB1,2006-2007,2006,Watford FC,43,24.4,21,0.767,32.97
England,GB1,2006-2007,2006,Reading FC,38,24.9,26,0.865,32.88
England,GB1,2007-2008,2007,Chelsea FC,39,25.7,25,11.14,434.35
England,GB1,2007-2008,2007,Manchester United,38,25.2,21,9.33,354.55
England,GB1,2007-2008,2007,Liverpool FC,41,24.0,26,7.45,305.65
England,GB1,2007-2008,2007,Arsenal FC,35,23.3,30,7.5,262.4
England,GB1,2007-2008,2007,Tottenham Hotspur,38,24.9,21,5.8,220.5
England,GB1,2007-2008,2007,Everton FC,32,25.8,18,4.85,155.3
England,GB1,2007-2008,2007,Manchester City,36,24.9,24,4.17,150.1
England,GB1,2007-2008,2007,Portsmouth FC,33,27.0,22,4.28,141.3
England,GB1,2007-2008,2007,Newcastle United,33,26.2,21,4.1,135.2
England,GB1,2007-2008,2007,Middlesbrough FC,34,25.0,15,3.56,120.9
England,GB1,2007-2008,2007,West Ham United,37,26.5,17,3.24,120.0
England,GB1,2007-2008,2007,Aston Villa,25,25.7,11,4.48,112.1
England,GB1,2007-2008,2007,Bolton Wanderers,42,26.3,30,2.48,104.2
England,GB1,2007-2008,2007,Fulham FC,43,28.2,33,2.3,99.05
England,GB1,2007-2008,2007,Blackburn Rovers,38,26.1,31,2.39,90.85
England,GB1,2007-2008,2007,Sunderland AFC,46,25.4,33,1.82,83.6
England,GB1,2007-2008,2007,Birmingham City,33,25.2,22,2.5,82.5
England,GB1,2007-2008,2007,Wigan Athletic,35,27.3,23,2.22,77.75
England,GB1,2007-2008,2007,Reading FC,43,25.4,30,1.53,65.93
England,GB1,2007-2008,2007,Derby County,41,27.3,23,1.23,50.4
England,GB1,2008-2009,2008,Chelsea FC,33,26.9,24,13.59,448.55
England,GB1,2008-2009,2008,Manchester United,42,24.4,26,10.14,425.95
England,GB1,2008-2009,2008,Liverpool FC,33,25.3,27,10.39,342.85
England,GB1,2008-2009,2008,Arsenal FC,41,22.6,31,7.6,311.45
England,GB1,2008-2009,2008,Tottenham Hotspur,43,24.3,24,6.48,278.8
England,GB1,2008-2009,2008,Manchester City,39,25.1,27,6.62,258.35
England,GB1,2008-2009,2008,Everton FC,32,25.3,16,5.95,190.33
England,GB1,2008-2009,2008,Aston Villa,35,25.3,16,4.5,157.35
England,GB1,2008-2009,2008,Portsmouth FC,36,28.2,22,4.24,152.6
England,GB1,2008-2009,2008,Newcastle United,38,25.2,22,3.54,134.55
England,GB1,2008-2009,2008,West Ham United,40,25.8,20,3.35,133.9
England,GB1,2008-2009,2008,Sunderland AFC,44,26.0,29,2.51,110.3
England,GB1,2008-2009,2008,Wigan Athletic,35,27.0,22,2.96,103.75
England,GB1,2008-2009,2008,Blackburn Rovers,36,26.7,27,2.53,91.2
England,GB1,2008-2009,2008,Middlesbrough FC,33,23.8,14,2.59,85.45
England,GB1,2008-2009,2008,Fulham FC,38,26.8,24,2.21,83.85
England,GB1,2008-2009,2008,Bolton Wanderers,33,26.4,20,2.47,81.65
England,GB1,2008-2009,2008,West Bromwich Albion,35,25.4,25,1.89,66.1
England,GB1,2008-2009,2008,Hull City,35,28.5,17,1.85,64.7
England,GB1,2008-2009,2008,Stoke City,38,27.4,19,1.67,63.45
England,GB1,2009-2010,2009,Chelsea FC,36,26.4,27,12.55,451.95
England,GB1,2009-2010,2009,Manchester United,39,25.4,25,9.86,384.7
England,GB1,2009-2010,2009,Liverpool FC,34,25.2,25,9.75,331.55
England,GB1,2009-2010,2009,Arsenal FC,45,23.2,31,6.98,314.3
England,GB1,2009-2010,2009,Manchester City,40,25.6,25,7.81,312.5
England,GB1,2009-2010,2009,Tottenham Hotspur,41,24.9,20,6.43,263.53
England,GB1,2009-2010,2009,Everton FC,42,24.6,23,5.21,218.93
England,GB1,2009-2010,2009,Aston Villa,31,27.1,14,5.4,167.38
England,GB1,2009-2010,2009,Sunderland AFC,38,26.1,26,3.46,131.58
England,GB1,2009-2010,2009,West Ham United,36,25.2,21,3.44,123.75
